iter	RMSE
0	0.5097034247
1	0.4921079429
2	0.4753917886
3	0.4595680032
4	0.4452139525
5	0.4316307004
6	0.4185531571
7	0.4060779885
8	0.3946205854
9	0.3829338639
10	0.3723444565
11	0.3622814651
12	0.3523737067
13	0.34369539
14	0.3352928634
15	0.3269130731
16	0.3195757154
17	0.3124761835
18	0.3056002549
19	0.2998411903
20	0.2938423603
21	0.2882449511
22	0.2825151538
23	0.2772391939
24	0.2724466179
25	0.2675731379
26	0.2629979126
27	0.2587678542
28	0.2545993613
29	0.2509561909
30	0.2472540136
31	0.2438070901
32	0.2407703756
33	0.2375141291
34	0.234897433
35	0.2320028154
36	0.2290720798
37	0.2267203048
38	0.2247210762
39	0.2229573026
40	0.2208556179
41	0.2185518356
42	0.2167252467
43	0.2147327761
44	0.2134909224
45	0.2118959438
46	0.2104423614
47	0.2090494015
48	0.2074931005
49	0.2060039916
50	0.2048184674
51	0.2037234046
52	0.2026285818
53	0.2015326718
54	0.2004791277
55	0.1995674929
56	0.1985910137
57	0.1977447069
58	0.1968195602
59	0.1957215829
60	0.1948864544
61	0.1936881402
62	0.1930857457
63	0.1923420342
64	0.1917706557
65	0.191104415
66	0.1905652246
67	0.1899138892
68	0.1890013163
69	0.1884115273
70	0.1878669833
71	0.187342189
72	0.1867297125
73	0.186249316
74	0.1855634339
75	0.1848861501
76	0.1844919865
77	0.1840593422
78	0.1836638396
79	0.1830698686
80	0.182466529
81	0.1819008729
82	0.1814468032
83	0.181166556
84	0.1808076078
85	0.1803020336
86	0.1799777405
87	0.1793822642
88	0.1789274019
89	0.1784376754
90	0.1781835416
91	0.1778779254
92	0.1774267714
93	0.1770697836
94	0.1768446055
95	0.1766386688
96	0.1761864148
97	0.1759314215
98	0.1756851437
99	0.1755114377
100	0.1752609414
101	0.1750560496
102	0.1746832561
103	0.1744275428
104	0.1742106249
105	0.1739520975
106	0.173607307
107	0.1732168163
108	0.1730128889
109	0.1728049694
110	0.1726660757
111	0.1723332603
112	0.1720574287
113	0.1718546677
114	0.1716915199
115	0.1715520376
116	0.1713350596
117	0.1711599936
118	0.1709723449
119	0.1708072235
120	0.1706906926
121	0.1705280377
122	0.1702527587
123	0.1700626543
124	0.1697866784
125	0.1696096473
126	0.1693993803
127	0.1691118766
128	0.1689254582
129	0.1685923093
130	0.1683810952
131	0.168220296
132	0.1680851604
133	0.167894753
134	0.1677892416
135	0.1675239861
136	0.1674151154
137	0.1672922206
138	0.1670384004
139	0.1667757372
140	0.1665664838
141	0.1664581548
142	0.166359348
143	0.1661735666
144	0.1660302868
145	0.1658891032
146	0.1657757683
147	0.1656919119
148	0.1653594063
149	0.1650959493
150	0.1649385021
151	0.1648444571
152	0.1647283237
153	0.1645145412
154	0.1644102252
155	0.1642055093
156	0.1640007072
157	0.1638926084
158	0.1638111141
159	0.1637128738
160	0.163620152
161	0.1634080005
162	0.1633133884
163	0.163199856
164	0.1630083016
165	0.1628611979
166	0.1627607425
167	0.1626373695
168	0.1625242629
169	0.1623993157
170	0.1622591924
171	0.1621635898
172	0.1619280967
173	0.1617941678
174	0.1616940422
175	0.1615834528
176	0.1614789836
177	0.1613780396
178	0.1612769542
179	0.1612116718
180	0.1611158221
181	0.161055766
182	0.160865231
183	0.1607356289
184	0.1606222893
185	0.1604725439
186	0.1603747962
187	0.1602788722
188	0.1601818801
189	0.160103227
190	0.1599176108
191	0.159844342
192	0.159700952
193	0.159590905
194	0.1595313289
195	0.1594394133
196	0.1593314235
197	0.1592412547
198	0.1591028746
199	0.1589605082
200	0.1588717576
201	0.1586687507
202	0.1585330067
203	0.1584507904
204	0.1582611363
205	0.1581155248
206	0.1579426335
207	0.1577832697
208	0.1575704456
209	0.1574064827
210	0.1572707303
211	0.1571409181
212	0.1570381702
213	0.1568852411
214	0.1567952628
215	0.1566940033
216	0.1565932023
217	0.1564597745
218	0.1563933152
219	0.1562030042
220	0.156132746
221	0.1560597989
222	0.1559653313
223	0.1558467119
224	0.1557379739
225	0.1556562326
226	0.1555461623
227	0.1554558322
228	0.1553360708
229	0.1552704306
230	0.1551389748
231	0.1550130967
232	0.1548543446
233	0.154778865
234	0.1546513048
235	0.1545428545
236	0.1545003266
237	0.1544104528
238	0.1542849972
239	0.1542009775
240	0.1541346526
241	0.1539976017
242	0.1538913508
243	0.153774128
244	0.1536457159
245	0.153559576
246	0.1534492374
247	0.1534060341
248	0.1533117061
249	0.1532276847
250	0.1531641903
251	0.1530398948
252	0.1529665085
253	0.1529083044
254	0.1528206175
255	0.1526557287
