iter	Passed	Remaining
0	6	3367
1	13	3317
2	19	3312
3	26	3272
4	33	3268
5	38	3184
6	45	3178
7	52	3214
8	58	3191
9	65	3199
10	72	3208
11	78	3211
12	85	3221
13	93	3250
14	100	3262
15	107	3254
16	114	3247
17	120	3215
18	127	3217
19	133	3205
20	140	3198
21	146	3185
22	153	3184
23	159	3168
24	165	3145
25	171	3130
26	177	3105
27	183	3090
28	189	3082
29	195	3065
30	202	3057
31	208	3047
32	214	3033
33	221	3033
34	227	3022
35	233	3012
36	239	3002
37	246	2998
38	253	2992
39	261	3011
40	269	3012
41	275	3009
42	282	3004
43	289	3005
44	295	2991
45	303	2996
46	311	2998
47	318	3001
48	326	3007
49	334	3008
50	340	3000
51	347	2991
52	354	2985
53	360	2980
54	367	2977
55	375	2976
56	382	2973
57	389	2968
58	396	2963
59	402	2953
60	409	2949
61	416	2942
62	423	2936
63	430	2929
64	436	2919
65	442	2910
66	449	2907
67	456	2900
68	463	2895
69	470	2887
70	476	2878
71	483	2871
72	489	2862
73	495	2853
74	501	2841
75	507	2830
76	513	2819
77	519	2808
78	524	2794
79	530	2783
80	536	2773
81	541	2762
82	548	2753
83	554	2745
84	560	2735
85	566	2726
86	572	2718
87	578	2709
88	584	2699
89	590	2690
90	596	2681
91	602	2671
92	609	2665
93	614	2654
94	620	2644
95	626	2635
96	631	2625
97	638	2617
98	644	2610
99	650	2602
100	657	2596
101	663	2588
102	685	2642
103	691	2633
104	697	2624
105	704	2618
106	710	2610
107	719	2610
108	725	2602
109	732	2597
110	739	2590
111	745	2583
112	751	2575
113	758	2566
114	763	2557
115	770	2550
116	776	2542
117	783	2535
118	789	2526
119	796	2521
120	802	2514
121	809	2507
122	816	2501
123	822	2494
124	829	2488
125	836	2481
126	842	2475
127	849	2468
128	855	2460
129	862	2454
130	869	2448
131	875	2440
132	881	2432
133	888	2426
134	894	2417
135	899	2408
136	907	2404
137	915	2401
138	923	2398
139	931	2395
140	939	2392
141	947	2387
142	953	2380
143	962	2378
144	970	2375
145	978	2372
146	985	2367
147	993	2363
148	1000	2357
149	1009	2355
150	1018	2353
151	1025	2348
152	1033	2343
153	1040	2337
154	1047	2331
155	1054	2325
156	1062	2321
157	1069	2315
158	1077	2310
159	1083	2303
160	1090	2296
161	1098	2291
162	1105	2285
163	1112	2278
164	1119	2272
165	1126	2267
166	1133	2259
167	1139	2251
168	1144	2241
169	1149	2231
170	1155	2223
171	1160	2213
172	1166	2204
173	1171	2195
174	1177	2187
175	1182	2177
176	1188	2169
177	1194	2160
178	1198	2150
179	1204	2140
180	1209	2131
181	1214	2122
182	1220	2113
183	1225	2104
184	1230	2095
185	1236	2087
186	1241	2078
187	1247	2069
188	1252	2061
189	1257	2052
190	1263	2043
191	1269	2036
192	1274	2027
193	1280	2018
194	1285	2010
195	1290	2002
196	1296	1993
197	1302	1986
198	1308	1978
199	1313	1970
200	1318	1962
201	1324	1953
202	1329	1944
203	1334	1936
204	1340	1928
205	1345	1920
206	1351	1912
207	1356	1904
208	1362	1896
209	1367	1888
210	1373	1880
211	1378	1872
212	1384	1864
213	1389	1857
214	1394	1848
215	1400	1841
216	1405	1833
217	1411	1825
218	1417	1818
219	1422	1810
220	1427	1802
221	1433	1795
222	1439	1787
223	1444	1779
224	1450	1772
225	1455	1764
226	1460	1756
227	1465	1748
228	1471	1741
229	1476	1732
230	1481	1725
231	1486	1717
232	1492	1710
233	1497	1702
234	1502	1694
235	1508	1687
236	1513	1679
237	1519	1672
238	1524	1664
239	1530	1657
240	1535	1650
241	1540	1642
242	1546	1636
243	1552	1629
244	1558	1621
245	1563	1614
246	1568	1607
247	1574	1599
248	1579	1592
249	1585	1585
250	1590	1577
251	1596	1571
252	1601	1563
253	1606	1556
254	1612	1549
255	1618	1542
256	1623	1535
257	1629	1528
258	1635	1521
259	1640	1514
260	1645	1507
261	1651	1500
262	1656	1493
263	1662	1486
264	1667	1479
265	1673	1472
266	1679	1465
267	1684	1458
268	1690	1451
269	1695	1444
270	1701	1437
271	1707	1430
272	1712	1424
273	1718	1417
274	1723	1410
275	1729	1403
276	1735	1397
277	1741	1390
278	1747	1383
279	1752	1377
280	1758	1370
281	1764	1364
282	1769	1356
283	1775	1350
284	1781	1343
285	1786	1337
286	1792	1330
287	1798	1323
288	1803	1317
289	1809	1310
290	1815	1303
291	1820	1296
292	1826	1290
293	1831	1283
294	1837	1276
295	1843	1270
296	1849	1263
297	1854	1256
298	1859	1249
299	1864	1242
300	1869	1235
301	1874	1229
302	1880	1222
303	1885	1215
304	1890	1208
305	1895	1202
306	1901	1195
307	1907	1188
308	1911	1181
309	1917	1175
310	1922	1168
311	1928	1161
312	1933	1155
313	1938	1148
314	1944	1141
315	1949	1135
316	1955	1128
317	1960	1121
318	1965	1114
319	1970	1108
320	1975	1101
321	1981	1095
322	1986	1088
323	1991	1081
324	1996	1075
325	2002	1068
326	2007	1061
327	2012	1055
328	2017	1048
329	2022	1041
330	2027	1035
331	2032	1028
332	2037	1021
333	2042	1014
334	2046	1008
335	2051	1001
336	2056	994
337	2062	988
338	2067	981
339	2072	975
340	2077	968
341	2083	962
342	2087	955
343	2092	948
344	2097	942
345	2101	935
346	2106	929
347	2111	922
348	2116	915
349	2121	909
350	2126	902
351	2132	896
352	2136	889
353	2142	883
354	2147	877
355	2152	870
356	2157	864
357	2162	857
358	2166	851
359	2171	844
360	2176	838
361	2181	831
362	2187	825
363	2191	818
364	2196	812
365	2201	806
366	2206	799
367	2211	793
368	2216	786
369	2221	780
370	2225	773
371	2230	767
372	2235	761
373	2240	754
374	2245	748
375	2249	741
376	2254	735
377	2258	729
378	2263	722
379	2268	716
380	2273	710
381	2278	703
382	2283	697
383	2288	691
384	2293	685
385	2298	678
386	2303	672
387	2308	666
388	2313	660
389	2318	653
390	2323	647
391	2328	641
392	2333	635
393	2338	629
394	2342	622
395	2347	616
396	2352	610
397	2357	604
398	2362	597
399	2366	591
400	2371	585
401	2376	579
402	2381	573
403	2386	567
404	2391	560
405	2396	554
406	2401	548
407	2405	542
408	2410	536
409	2415	530
410	2419	523
411	2424	517
412	2428	511
413	2433	505
414	2438	499
415	2443	493
416	2448	487
417	2453	481
418	2458	475
419	2463	469
420	2468	463
421	2472	457
422	2477	450
423	2482	445
424	2487	439
425	2492	433
426	2497	427
427	2502	420
428	2507	414
429	2511	408
430	2516	402
431	2520	396
432	2525	390
433	2530	384
434	2534	378
435	2539	372
436	2543	366
437	2548	360
438	2552	354
439	2557	348
440	2561	342
441	2566	336
442	2571	330
443	2576	324
444	2581	319
445	2586	313
446	2591	307
447	2596	301
448	2601	295
449	2607	289
450	2612	283
451	2617	277
452	2622	272
453	2628	266
454	2632	260
455	2638	254
456	2643	248
457	2647	242
458	2653	237
459	2658	231
460	2662	225
461	2668	219
462	2673	213
463	2678	207
464	2683	201
465	2688	196
466	2693	190
467	2698	184
468	2703	178
469	2709	172
470	2713	167
471	2718	161
472	2723	155
473	2728	149
474	2734	143
475	2739	138
476	2744	132
477	2749	126
478	2754	120
479	2760	115
480	2765	109
481	2770	103
482	2775	97
483	2781	91
484	2785	86
485	2791	80
486	2795	74
487	2801	68
488	2805	63
489	2810	57
490	2816	51
491	2821	45
492	2826	40
493	2831	34
494	2836	28
495	2841	22
496	2846	17
497	2851	11
498	2857	5
499	2861	0
